radionuclide,CL_lim,TFA_dt,FMA_dt,FMA_ct,FMA_lim,FMA_alpha,LNC_std,LNC_cern
Cs-131,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Cs-132,10.0,0.0,0.0,0,0.0,0,0.0,0.403
Cs-134,0.1,0.1,10.0,3700,190000000.0,1,0.908,0.883
Cs-134m,1000.0,0.0,0.0,0,0.0,0,0.0,0.00254
Cs-135,100.0,0.1,0.001,0,260000.0,1,0.0,0.0
Cs-135m,10.0,0.0,0.0,0,0.0,0,0.0,0.875
Cs-136,1.0,0.0,0.0,0,0.0,0,0.0,0.954
Cs-137,0.1,0.1,10.0,3700,330000.0,1,0.341,0.0
Cs-138,10.0,0.0,0.0,0,0.0,0,0.0,0.835
Cu-60,10.0,0.0,0.0,0,0.0,0,0.0,1.48
Cu-61,10.0,0.0,0.0,0,0.0,0,0.0,0.483
Cu-62,100.0,0.0,0.0,0,0.0,0,0.0,0.611
Cu-64,100.0,0.0,0.0,0,0.0,0,0.133,0.112
Cu-66,1000.0,0.0,0.0,0,0.0,0,0.0,0.0467
Cu-67,100.0,0.0,0.0,0,0.0,0,0.0,0.0369
Dy-154,0.0,1.0,1.0,3700,0.0,2,0.0,0.0
Dy-155,10.0,0.0,0.0,0,0.0,0,0.0,0.278
Dy-157,100.0,0.0,0.0,0,0.0,0,0.0,0.177
Dy-159,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Dy-165,1000.0,0.0,0.0,0,0.0,0,0.0,0.0109
Dy-166,100.0,0.0,0.0,0,0.0,0,0.0,0.00278
Er-161,10.0,0.0,0.0,0,0.0,0,0.0,0.463
Er-165,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Er-169,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Er-171,100.0,0.0,0.0,0,0.0,0,0.0,0.177
Er-172,10.0,0.0,0.0,0,0.0,0,0.0,0.285
Es-250,100.0,0.0,0.0,0,0.0,0,0.0,0.566
Es-251,100.0,0.0,0.0,0,0.0,0,0.0,0.00821
Es-252,0.0,0.1,0.1,0,0.0,3,0.0,0.0
Es-253,100.0,0.0,0.0,0,0.0,0,0.0,0.00016
Es-254,0.1,0.1,0.1,3700,0.0,3,0.0,0.00044
Es-254m,10.0,0.0,0.0,0,0.0,0,0.0,0.265
Eu-145,1.0,0.0,0.0,0,0.0,0,0.0,0.539
Eu-146,1.0,0.0,0.0,0,0.0,0,0.0,1.17
Eu-147,10.0,0.0,0.0,0,0.0,0,0.0,0.191
Eu-148,1.0,0.0,0.0,0,0.0,0,0.0,1.19
Eu-149,10.0,0.0,0.0,0,0.0,0,0.0,0.0182
Eu-150,0.1,0.1,1.0,0,0.0,1,0.0,0.849
Eu-150m,1000.0,0.0,0.0,0,0.0,0,0.0,0.0249
Eu-152,0.1,0.1,1.0,30000,75000000.0,1,0.502,0.514
Eu-152m,100.0,0.0,0.0,0,0.0,0,0.0,0.142
Eu-154,0.1,0.1,1.0,20000,58000000.0,1,0.561,0.559
Eu-155,1.0,10.0,1.0,0,0.0,1,0.0,2e-05
Eu-156,1.0,0.0,0.0,0,0.0,0,0.0,0.456
Eu-157,100.0,0.0,0.0,0,0.0,0,0.0,0.146
Eu-158,10.0,0.0,0.0,0,0.0,0,0.0,0.576
F-18,10.0,0.0,0.0,0,0.0,0,0.0,0.601
Fe-52,10.0,0.0,0.0,0,0.0,0,0.0,0.402
Fe-55,1000.0,10.0,10.0,37000,6100000000.0,1,0.0,0.0
Fe-59,1.0,0.0,0.0,0,0.0,0,0.432,0.501
Fe-60,10.0,10.0,1.0,0,0.0,1,0.0,0.0
Fm-252,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Fm-253,100.0,0.0,0.0,0,0.0,0,0.0,0.0105
Fm-254,10000.0,0.0,0.0,0,0.0,0,0.0,0.0
Fm-255,100.0,0.0,0.0,0,0.0,0,0.0,9e-05
Fm-257,10.0,0.0,0.0,0,0.0,0,0.0,0.0242
Fr-222,1000.0,0.0,0.0,0,0.0,0,0.0,0.0682
Fr-223,100.0,0.0,0.0,0,0.0,0,0.0,0.0109
Ga-65,10.0,0.0,0.0,0,0.0,0,0.0,0.649
Ga-66,10.0,0.0,0.0,0,0.0,0,0.0,0.738
Ga-67,100.0,0.0,0.0,0,0.0,0,0.0,0.0574
Ga-68,10.0,0.0,0.0,0,0.0,0,0.0,0.572
Ga-70,100.0,0.0,0.0,0,0.0,0,0.672,0.00341
Ga-72,10.0,0.0,0.0,0,0.0,0,0.0,1.02
Ga-73,100.0,0.0,0.0,0,0.0,0,0.0,0.189
Gd-145,10.0,0.0,0.0,0,0.0,0,0.0,0.747
Gd-146,1.0,0.0,0.0,0,0.0,0,0.0,0.0291
Gd-147,10.0,0.0,0.0,0,0.0,0,0.0,0.657
Gd-148,1.0,0.1,0.1,3700,0.0,2,0.0,0.0
Gd-149,10.0,0.0,0.0,0,0.0,0,0.0,0.253
Gd-150,0.0,1.0,0.1,3700,0.0,2,0.0,0.0
Gd-151,10.0,0.0,0.0,0,0.0,0,0.0,0.014
Gd-152,10.0,0.0,0.0,0,0.0,0,0.0,0.0
Gd-153,10.0,10.0,1.0,0,0.0,1,0.0,2e-05
Gd-159,100.0,0.0,0.0,0,0.0,0,0.0,0.0266
Ge-66,10.0,0.0,0.0,0,0.0,0,0.0,0.369
Ge-67,10.0,0.0,0.0,0,0.0,0,0.0,0.761
Ge-68,10.0,0.1,1.0,0,0.0,1,0.0,0.0
Ge-69,10.0,0.0,0.0,0,0.0,0,0.0,0.476
Ge-71,10000.0,0.0,0.0,0,0.0,0,0.0,0.0
Ge-75,1000.0,0.0,0.0,0,0.0,0,0.0,0.0185
Ge-77,10.0,0.0,0.0,0,0.0,0,0.0,0.539
Ge-78,100.0,0.0,0.0,0,0.0,0,0.0,0.15
H-3,100.0,1.0,10.0,7400,210000.0,1,0.0,0.0
Hf-170,100.0,0.0,0.0,0,0.0,0,0.0,0.246
Hf-172,10.0,0.1,1.0,0,0.0,1,0.0,0.00284
Hf-173,10.0,0.0,0.0,0,0.0,0,0.0,0.13
Hf-175,1.0,0.0,0.0,0,0.0,0,0.0,0.173
Hf-177m,10.0,0.0,0.0,0,0.0,0,0.0,0.469
Hf-178m,10.0,0.0,0.0,0,0.0,0,0.0,0.0
Hf-178n,0.0,0.1,1.0,0,0.0,1,0.0,0.505
Hf-179m,10.0,0.0,0.0,0,0.0,0,0.0,0.0944
Hf-180m,10.0,0.0,0.0,0,0.0,0,0.0,0.524
Hf-181,1.0,0.0,0.0,0,0.0,0,0.0,0.283
Hf-182,0.1,0.1,1.0,0,0.0,1,0.0,0.117
Hf-182m,10.0,0.0,0.0,0,0.0,0,0.0,0.437
Hf-183,10.0,0.0,0.0,0,0.0,0,0.0,0.396
Hf-184,100.0,0.0,0.0,0,0.0,0,0.0,0.0944
Hg-193,100.0,0.0,0.0,0,0.0,0,0.0,0.315
Hg-193m,10.0,0.0,0.0,0,0.0,0,0.0,0.543
Hg-194,0.1,0.1,1.0,0,0.0,1,0.0,0.0
Hg-195,100.0,0.0,0.0,0,0.0,0,0.0,0.0708
Hg-195m,100.0,0.0,0.0,0,0.0,0,0.0,0.088
Hg-197,100.0,0.0,0.0,0,0.0,0,0.0,0.00056
Hg-197m,100.0,0.0,0.0,0,0.0,0,0.0,0.00902
Hg-199m,100.0,0.0,0.0,0,0.0,0,0.0,0.0559
Hg-203,10.0,0.0,0.0,0,0.0,0,0.0,0.123
